blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
LeBlanc,Ahri,Gwen,Jayce,12.8,Bin,Zeus,,,,
Xayah,Lucian,Viego,Nocturne,12.8,Wei,Oner,,,,
Renata Glasc,Wukong,Galio,Azir,12.8,xiaohu,Faker,,,,
Ezreal,Kaisa,Tristana,Caitlyn,12.8,GALA,Gumayusi,,,,
Senna,Kalista,Nautilus,Morgana,12.8,Ming,Keria,,,,
,,,,,,,Royal Never Give Up,T1,blue_side,red_side
Galio,Lucian,Gangplank,Gnar,12.8,Zeus,Bin,,,,
Jax,Gwen,Wukong,Viego,12.8,Oner,Wei,,,,
Nautilus,LeBlanc,Lissandra,Ahri,12.8,Faker,xiaohu,,,,
Aatrox,Ezreal,Jinx,Xayah,12.8,Gumayusi,GALA,,,,
Rakan,Senna,Tahm Kench,Karma,12.8,Keria,Ming,,,,
,,,,,,,T1,Royal Never Give Up,blue_side,red_side
LeBlanc,Lucian,Gwen,Kennen,12.8,Bin,Zeus,,,,
Xayah,Galio,Viego,Wukong,12.8,Wei,Oner,,,,
Gangplank,Jax,Lissandra,Ahri,12.8,xiaohu,Faker,,,,
Jayce,Tristana,Ezreal,Aphelios,12.8,GALA,Gumayusi,,,,
Kalista,Kaisa,Braum,Nautilus,12.8,Ming,Keria,,,,
,,,,,,,Royal Never Give Up,T1,blue_side,red_side
Galio,Lucian,Gnar,Camille,12.8,Zeus,Bin,,,,
Viego,Gwen,Wukong,Lee Sin,12.8,Oner,Wei,,,,
Nautilus,Gangplank,LeBlanc,Ahri,12.8,Faker,xiaohu,,,,
Rakan,Ezreal,Jinx,Xayah,12.8,Gumayusi,GALA,,,,
Irelia,Senna,Tahm Kench,Leona,12.8,Keria,Ming,,,,
,,,,,,,T1,Royal Never Give Up,blue_side,red_side
LeBlanc,Lucian,Gwen,Jayce,12.8,Bin,Zeus,,,,
Xayah,Viego,Lee Sin,Wukong,12.8,Wei,Oner,,,,
Gangplank,Nautilus,Lissandra,Ahri,12.8,xiaohu,Faker,,,,
Tahm Kench,Ezreal,Tristana,Jhin,12.8,GALA,Gumayusi,,,,
