blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Akali,Yuumi,Yone,Aatrox,12.18,Zeus,kingen,,,,
Sejuani,Lucian,Lee Sin,Viego,12.18,Oner,Pyosik,,,,
Ashe,Caitlyn,Azir,Sylas,12.18,Faker,Zeka,,,,
Rell,Ryze,Varus,Sivir,12.18,Gumayusi,Deft,,,,
Ezreal,Graves,Renata Glasc,Heimerdinger,12.18,Keria,BeryL,,,,
,,,,,,,T1,DRX,blue_side,red_side
Lucian,Yuumi,Camille,Aatrox,12.18,kingen,Zeus,,,,
Ryze,Caitlyn,Viego,Graves,12.18,Pyosik,Oner,,,,
Renata Glasc,Sejuani,Sylas,Viktor,12.18,Zeka,Faker,,,,
Nocturne,Akali,Varus,Ashe,12.18,Deft,Gumayusi,,,,
Azir,Kindred,Heimerdinger,Lux,12.18,BeryL,Keria,,,,
,,,,,,,DRX,T1,blue_side,red_side
Akali,Yuumi,Gragas,Ornn,12.18,Zeus,kingen,,,,
Sejuani,Lucian,Graves,Viego,12.18,Oner,Pyosik,,,,
Ashe,Caitlyn,Azir,Sylas,12.18,Faker,Zeka,,,,
Aatrox,Yone,Varus,Kalista,12.18,Gumayusi,Deft,,,,
Kindred,Lee Sin,Karma,Renata Glasc,12.18,Keria,BeryL,,,,
,,,,,,,T1,DRX,blue_side,red_side
Lucian,Caitlyn,Aatrox,Fiora,12.18,kingen,Zeus,,,,
Ashe,Yuumi,Maokai,Sejuani,12.18,Pyosik,Oner,,,,
Ryze,Heimerdinger,Azir,Akali,12.18,Zeka,Faker,,,,
Viktor,Kindred,Varus,Kalista,12.18,Deft,Gumayusi,,,,
Yone,Viego,Renata Glasc,Soraka,12.18,BeryL,Keria,,,,
,,,,,,,DRX,T1,blue_side,red_side
Akali,Yuumi,Gwen,Aatrox,12.18,Zeus,kingen,,,,
Heimerdinger,Lucian,Viego,Hecarim,12.18,Oner,Pyosik,,,,
Renata Glasc,Lux,Viktor,Azir,12.18,Faker,Zeka,,,,
Sejuani,Yone,Varus,Caitlyn,12.18,Gumayusi,Deft,,,,
Kindred,Lee Sin,Karma,Bard,12.18,Keria,BeryL,,,,
,,,,,,,T1,DRX,red_side,blue_side
Heimerdinger,Yuumi,Fiora,Camille,12.18,Doran,kingen,,,,
Akali,Lucian,Viego,Sejuani,12.18,Peanut,Pyosik,,,,
Aatrox,Caitlyn,Sylas,Azir,12.18,Chovy,Zeka,,,,
Ashe,Renekton,Varus,Miss Fortune,12.18,Ruler,Deft,,,,
Karma,Renata Glasc,Tahm Kench,Soraka,12.18,Lehends,BeryL,,,,
,,,,,,,Gen.G eSports,DRX,blue_side,red_side
Lucian,Heimerdinger,Gragas,Ornn,12.18,kingen,Doran,,,,
Singed,Aatrox,Kindred,Graves,12.18,Pyosik,Peanut,,,,
Ryze,Yuumi,Ahri,Sylas,12.18,Zeka,Chovy,,,,
Gnar,Akali,Caitlyn,Varus,12.18,Deft,Ruler,,,,
Camille,Azir,Lux,Karma,12.18,BeryL,Lehends,,,,
,,,,,,,DRX,Gen.G eSports,blue_side,red_side
Heimerdinger,Yuumi,Sejuani,Ornn,12.18,Doran,kingen,,,,
Sylas,Lucian,Trundle,Viego,12.18,Peanut,Pyosik,,,,
Aatrox,Caitlyn,Azir,Akali,12.18,Chovy,Zeka,,,,
Camille,Renekton,Ezreal,Varus,12.18,Ruler,Deft,,,,
Gragas,Gnar,Karma,Renata Glasc,12.18,Lehends,BeryL,,,,
,,,,,,,Gen.G eSports,DRX,red_side,blue_side
Heimerdinger,Yuumi,Renekton,Gragas,12.18,Doran,kingen,,,,
Akali,Lucian,Viego,Kindred,12.18,Peanut,Pyosik,,,,
Aatrox,Caitlyn,Ryze,Galio,12.18,Chovy,Zeka,,,,
Renata Glasc,Aphelios,Xayah,Varus,12.18,Ruler,Deft,,,,
Karma,Sivir,Nautilus,Braum,12.18,Lehends,BeryL,,,,
,,,,,,,Gen.G eSports,DRX,red_side,blue_side
Sejuani,Caitlyn,Camille,Jax,12.18,Zeus,369,,,,
Sylas,Yuumi,Vi,Viego,12.18,Oner,Kanavi,,,,
Aatrox,Graves,Galio,Taliyah,12.18,Faker,Yagao,,,,
Ornn,Viktor,Lucian,Aphelios,12.18,Gumayusi,Hope,,,,
Renekton,Akali,Nami,Lulu,12.18,Keria,Missing,,,,
,,,,,,,T1,JD Gaming,red_side,blue_side
Sejuani,Caitlyn,Yone,Malphite,12.18,Zeus,369,,,,
Viego,Yuumi,Poppy,Belveth,12.18,Oner,Kanavi,,,,
Aatrox,Graves,Ryze,Sylas,12.18,Faker,Yagao,,,,
Vi,Lee Sin,Lucian,Aphelios,12.18,Gumayusi,Hope,,,,
Renekton,Fiora,Nami,Lulu,12.18,Keria,Missing,,,,
,,,,,,,T1,JD Gaming,blue_side,red_side
Caitlyn,Yuumi,Renekton,Gangplank,12.18,369,Zeus,,,,
Yone,Aatrox,Viego,Nocturne,12.18,Kanavi,Oner,,,,
Sejuani,Graves,Azir,Ryze,12.18,Yagao,Faker,,,,
Lee Sin,Taliyah,Aphelios,Lucian,12.18,Hope,Gumayusi,,,,
Jayce,Galio,Lulu,Nami,12.18,Missing,Keria,,,,
,,,,,,,JD Gaming,T1,red_side,blue_side
Caitlyn,Yuumi,Sejuani,Gragas,12.18,369,Zeus,,,,
Ryze,Aatrox,Belveth,Viego,12.18,Kanavi,Oner,,,,
Lucian,Graves,Sylas,Azir,12.18,Yagao,Faker,,,,
Tahm Kench,Taliyah,Jhin,Varus,12.18,Hope,Gumayusi,,,,
Fiora,Ashe,Karma,Renata Glasc,12.18,Missing,Keria,,,,
,,,,,,,JD Gaming,T1,red_side,blue_side
Lucian,Yuumi,Fiora,Kennen,12.18,kingen,Flandre,,,,
Ryze,Caitlyn,Graves,Lee Sin,12.18,Pyosik,Jiejie,,,,
Sejuani,Aatrox,Orianna,Azir,12.18,Zeka,Scout,,,,
Varus,Sylas,Ashe,Sivir,12.18,Deft,Viper,,,,
Ezreal,Viktor,Heimerdinger,Soraka,12.18,BeryL,meiko,,,,
,,,,,,,DRX,Edward Gaming,red_side,blue_side
